region,year,dominate,h1_p,h3_p,h1_g,h3_g,h3h1_g,h3h1_p,logh3h1_g,logh3h1_p,,Abbreviation:,
NZ,2009,h1,17.50458716,0.330275229,75.75675168,0.5,0.006600072,0.018867925,-2.18045134,-1.72427587,,,
NZ,2010,h1,20.64466616,0.230237913,115.476719,3.75,0.032474078,0.011152416,-1.488463168,-1.952631024,,,
NZ,2011,h3,2.350176263,8.578143361,4.375,1.4375,0.328571429,3.65,-0.483370204,0.562292865,,,
NZ,2012,h3,2.394526796,33.97947548,0.8571429,6.66666655,7.777777253,14.19047619,0.890855501,1.151996969,,,
NZ,2013,h3,4.926108374,5.911330049,3.3,5.94117647,1.800356506,1.2,0.255358512,0.079181246,,,
NZ,2014,h1,21.28240109,6.002728513,5,3.4666668,0.69333336,0.282051282,-0.159057903,-0.549671922,,,
NZ,2015,h3,0.202839757,7.910750507,0.5,7.79122341,15.58244682,38.99999992,1.192635653,1.591064606,,,
NZ,2016,h3,5.5907173,14.97890295,3.96153846,11.63219246,2.936281593,2.679245282,0.467797703,0.428012475,,,
NZ,2017,h3,3.115264798,20.64975523,2.46666664,2.20192302,0.892671504,6.628571428,-0.049308329,0.82141994,,,
NZ,2018,h1,22.07958922,3.851091142,1.6052632,1.6923077,1.054224441,0.174418605,0.022933081,-0.758407192,,,
NZ,2019,h3,0.5,20.52980132,1,7.67647058,7.67647058,41.05960265,0.88516159,1.613414742,,,
HK,2009,h1,11.34985118,4.781594401,92.75860145,7.69613684,0.082969522,0.421291374,-1.081081411,-0.375417433,,,
HK,2010,h3,2.739386022,5.657740039,1.5,6.9811321,4.654088067,2.065331426,0.667834597,0.314989753,,,
HK,2011,h1,6.361494975,2.132537688,2.4444444,11.5384617,4.720279872,0.33522587,0.673967749,-0.474662473,,,
HK,2012,h3,0.204361228,10.42128097,3.3999999,15,4.411764836,50.99441353,0.644612355,1.707522601,,,
HK,2013,h3,2.8350542,3.678158553,2.24137932,13.27750416,5.923809523,1.297385621,0.772601086,0.11306908,,,
HK,2014,h3,3.254915762,3.722353069,2,17.23076934,8.61538467,1.143609648,0.935274673,0.058277811,,,
HK,2015,h3,0.221315161,11.51014021,2.1538462,16.36,7.595714123,52.00791558,0.880568611,1.716069448,,,
HK,2016,h1,3.652509092,3.566506751,3.4545454,15.31818167,4.434210553,0.976453901,0.646816311,-0.010348255,,,
HK,2017,h3,0.976275223,10.11957927,1.54054055,14.97151901,9.718354383,10.36549841,0.987592732,1.015590189,,,
HK,2018,h1,2.698251242,0.84425492,3.52554742,10.71428555,3.039041679,0.312889662,0.482736656,-0.504608785,,,
HK,2019,h1,6.547610241,2.830919161,3.66666666,12.54,3.420000006,0.432359144,0.534026107,-0.364155351,,,
